Etape	m2	p2
1656	789	0
1657	789	0
1658	789	0
1659	789	0
1660	790	0
1661	790	0
1662	791	0
1663	791	0
1664	791	0
1665	791	0
1666	791	0
1667	791	0
1668	792	0
1669	792	0
1670	793	0
1671	793	0
1672	793	0
1673	793	0
1674	793	0
1675	793	0
1676	793	0
1677	793	0
1678	794	0
1679	794	0
1680	795	0
1681	796	0
1682	796	0
1683	796	0
1684	796	0
1685	796	0
1686	796	0
1687	796	0
1688	796	0
1689	797	0
1690	797	0
1691	798	0
1692	798	0
1693	798	0
1694	798	0
1695	799	0
1696	799	0
1697	799	0
1698	799	0
1699	800	0
1700	800	0
1701	800	0
1702	800	0
1703	800	0
1704	800	0
1705	800	0
1706	800	0
1707	800	0
1708	800	0
1709	800	0
1710	800	0
1711	800	0
1712	801	0
1713	801	0
1714	801	0
1715	801	0
1716	801	0
1717	802	0
1718	802	0
1719	802	0
1720	802	0
1721	802	0
1722	802	0
1723	802	0
1724	802	0
1725	802	0
1726	802	0
1727	802	0
1728	802	0
1729	803	0
1730	803	0
1731	803	0
1732	803	0
1733	803	0
1734	804	0
1735	804	0
1736	804	0
1737	804	0
1738	804	0
1739	805	0
1740	805	0
1741	805	0
1742	805	0
1743	806	0
1744	807	0
1745	807	0
1746	807	0
1747	807	0
1748	807	0
1749	807	0
1750	808	0
1751	809	0
1752	809	0
1753	809	0
1754	809	0
1755	809	0
1756	809	0
1757	808	0
1758	808	0
1759	808	0
1760	808	0
1761	807	0
1762	808	0
1763	808	0
1764	808	0
1765	808	0
1766	809	0
1767	809	0
1768	809	0
1769	809	0
1770	809	0
1771	809	0
1772	810	0
1773	810	0
1774	810	0
1775	810	0
1776	810	0
1777	810	0
1778	810	0
1779	811	0
1780	812	0
1781	812	0
1782	812	0
1783	813	0
1784	813	0
1785	813	0
1786	813	0
1787	813	0
1788	813	0
1789	814	0
1790	814	0
1791	814	0
1792	815	0
1793	815	0
1794	815	0
1795	815	0
1796	815	0
1797	815	0
1798	815	0
1799	815	0
1800	815	0
1801	815	0
1802	815	0
1803	816	0
1804	816	0
1805	816	0
1806	816	0
1807	816	0
1808	816	0
1809	816	0
1810	816	0
1811	816	0
1812	816	0
1813	816	0
1814	816	0
1815	816	0
1816	817	0
1817	817	0
1818	818	0
1819	818	0
1820	819	0
1821	819	0
1822	819	0
1823	819	0
1824	819	0
1825	819	0
1826	819	0
1827	819	0
1828	819	0
1829	819	0
1830	819	0
1831	819	0
1832	819	0
1833	820	0
1834	820	0
1835	820	0
1836	820	0
1837	820	0
1838	820	0
1839	821	0
1840	821	0
1841	822	0
1842	822	0
1843	822	0
1844	822	0
1845	822	0
1846	823	0
1847	824	0
1848	824	0
1849	823	0
1850	823	0
1851	824	0
1852	824	0
1853	825	0
1854	825	0
1855	825	0
1856	826	0
1857	827	0
1858	827	0
1859	827	0
1860	827	0
1861	827	0
1862	827	0
1863	827	0
1864	827	0
1865	827	0
1866	827	0
1867	827	0
1868	827	0
1869	827	0
1870	827	0
1871	828	0
1872	828	0
1873	829	0
1874	829	0
1875	829	0
1876	829	0
1877	829	0
1878	829	0
1879	829	0
1880	829	0
1881	830	0
1882	830	0
1883	830	0
1884	831	0
1885	831	0
1886	831	0
1887	831	0
1888	831	0
1889	831	0
1890	831	0
1891	831	0
1892	831	0
1893	831	0
1894	831	0
1895	831	0
1896	831	0
1897	832	0
1898	833	0
1899	833	0
1900	833	0
1901	833	0
1902	833	0
1903	833	0
1904	833	0
1905	833	0
1906	833	0
1907	833	0
1908	833	0
1909	833	0
1910	833	0
1911	833	0
1912	833	0
1913	833	0
1914	833	0
1915	833	0
1916	833	0
1917	833	0
1918	833	0
1919	833	0
1920	833	0
1921	833	0
1922	833	0
1923	833	0
1924	834	0
1925	835	0
1926	835	0
1927	835	0
1928	835	0
1929	836	0
1930	836	0
1931	836	0
1932	836	0
1933	836	0
1934	837	0
1935	838	0
1936	838	0
1937	839	0
1938	839	0
1939	839	0
1940	839	0
1941	839	0
